composer/composer,src/Composer/DependencyResolver/RuleSetGenerator.php,Nils Adermann,5.73436284215324
composer/composer,src/Composer/DependencyResolver/RuleSetIterator.php,Nils Adermann,4.33249975504026
composer/composer,src/Composer/DependencyResolver/RuleSet.php,Nils Adermann,5.61984521037779
composer/composer,src/Composer/DependencyResolver/RuleWatchChain.php,Nils Adermann,4.555
composer/composer,src/Composer/DependencyResolver/RuleWatchGraph.php,Nils Adermann,5.67837043010865
composer/composer,src/Composer/DependencyResolver/RuleWatchNode.php,Nils Adermann,5.35034545533754
composer/composer,src/Composer/DependencyResolver/SolverBugException.php,Nils Adermann,4.555
composer/composer,src/Composer/DependencyResolver/Solver.php,Nils Adermann,18.8991026198511
composer/composer,src/Composer/DependencyResolver/SolverProblemsException.php,Nils Adermann,4.14384521037779
composer/composer,src/Composer/DependencyResolver/Transaction.php,Nils Adermann,5.09399951008051
composer/composer,src/Composer/Downloader/ArchiveDownloader.php,Jordi Boggiano,6.40565125625485
composer/composer,src/Composer/Downloader/ChangeReportInterface.php,Jordi Boggiano,3.39849975504026
composer/composer,src/Composer/Downloader/ChangeReportInterface.php,Sascha Egerer,4.20234545533754
composer/composer,src/Composer/Downloader/DownloaderInterface.php,everzet,3.53784521037779
composer/composer,src/Composer/Downloader/DownloaderInterface.php,Kirill chEbba Chebunin,3.81587018514891
composer/composer,src/Composer/Downloader/DownloadManager.php,Jordi Boggiano,5.64519066571533
composer/composer,src/Composer/Downloader/FileDownloader.php,Jordi Boggiano,11.5476547628624
composer/composer,src/Composer/Downloader/FilesystemException.php,Jordi Boggiano,3.457
composer/composer,src/Composer/Downloader/FilesystemException.php,Javier Spagnoletti,4.16849975504026
composer/composer,src/Composer/Downloader/GitDownloader.php,Jordi Boggiano,16.9311026198511
composer/composer,src/Composer/Downloader/GzipDownloader.php,Pavel Puchkin,4.76599951008052
composer/composer,src/Composer/Downloader/HgDownloader.php,Per Bernhardt,4.31703636601261
composer/composer,src/Composer/Downloader/HgDownloader.php,Jordi Boggiano,4.82519066571533
composer/composer,src/Composer/Downloader/PearPackageExtractor.php,Jordi Boggiano,3.53784521037779
composer/composer,src/Composer/Downloader/PearPackageExtractor.php,Alexey Prilipko,4.42236284215324
composer/composer,src/Composer/Downloader/PerforceDownloader.php,matt-whittom,6.08127561743172
composer/composer,src/Composer/Downloader/PharDownloader.php,Kirill chEbba Chebunin,4.03837043010865
composer/composer,src/Composer/Downloader/RarDownloader.php,frederik,3.621
composer/composer,src/Composer/Downloader/RarDownloader.php,Derrick Nelson,4.03834545533754
composer/composer,src/Composer/Downloader/SvnDownloader.php,Jordi Boggiano,6.61183508768757
composer/composer,src/Composer/Downloader/TarDownloader.php,Kirill chEbba Chebunin,3.87437043010865
composer/composer,src/Composer/Downloader/TransportException.php,Jordi Boggiano,4.883
composer/composer,src/Composer/Downloader/VcsDownloader.php,Jordi Boggiano,8.24387018514891
composer/composer,src/Composer/Downloader/ZipDownloader.php,Jordi Boggiano,5.74477537247198
composer/composer,src/Composer/EventDispatcher/EventDispatcher.php,Jordi Boggiano,6.75409803857434
composer/composer,src/Composer/EventDispatcher/Event.php,Jordi Boggiano,3.72649975504026
composer/composer,src/Composer/EventDispatcher/Event.php,Nils Adermann,4.03837043010865
composer/composer,src/Composer/EventDispatcher/EventSubscriberInterface.php,Nils Adermann,4.391
composer/composer,src/Composer/Factory.php,Jordi Boggiano,14.956862107274
composer/composer,src/Composer/Installer/InstallationManager.php,Jordi Boggiano,6.48353851655795
composer/composer,src/Composer/Installer/InstallerEvent.php,Jordi Boggiano,3.457
composer/composer,src/Composer/Installer/InstallerEvent.php,FranÃƒÂ§ois Pluchino,4.16849975504026
composer/composer,src/Composer/Installer/InstallerEvents.php,Jordi Boggiano,3.457
composer/composer,src/Composer/Installer/InstallerEvents.php,FranÃƒÂ§ois Pluchino,4.16849975504026
composer/composer,src/Composer/Installer/InstallerInterface.php,Kirill chEbba Chebunin,3.64553851655795
composer/composer,src/Composer/Installer/InstallerInterface.php,Jordi Boggiano,3.67127561743172
composer/composer,src/Composer/Installer/LibraryInstaller.php,Jordi Boggiano,10.6923444754986
composer/composer,src/Composer/Installer/MetapackageInstaller.php,Jordi Boggiano,3.39849975504026
composer/composer,src/Composer/Installer/MetapackageInstaller.php,Martin HasoÃ…Ë†,4.20234545533754
composer/composer,src/Composer/Installer/NoopInstaller.php,Jordi Boggiano,4.49649975504026
composer/composer,src/Composer/Installer/PackageEvent.php,Jordi Boggiano,4.719
composer/composer,src/Composer/Installer/PackageEvents.php,Jordi Boggiano,4.391
composer/composer,src/Composer/Installer/PearInstaller.php,Jordi Boggiano,3.44549926512077
composer/composer,src/Composer/Installer/PearInstaller.php,Alexey Prilipko,4.34169091067507
composer/composer,src/Composer/Installer.php,Jordi Boggiano,20.4705380266385
composer/composer,src/Composer/Installer/PluginInstaller.php,Jordi Boggiano,5.72534496541805
composer/composer,src/Composer/Installer/ProjectInstaller.php,Benjamin Eberlei,3.68569091067507
