moment/moment,locale/lv.js,Tim Wood,3.37387018514891
moment/moment,locale/lv.js,Kristaps Karlsons,3.52171588544619
moment/moment,locale/lv.js,Iskren Chernev,3.57169091067507
moment/moment,locale/mk.js,Borislav Mickov,3.72349926512077
moment/moment,locale/mk.js,Iskren Chernev,3.76034545533754
moment/moment,locale/ml.js,Iskren Chernev,3.44549926512077
moment/moment,locale/ml.js,Floyd Pink,4.14387018514891
moment/moment,locale/mr.js,Iskren Chernev,3.60949926512077
moment/moment,locale/mr.js,Harshad Kale,3.92134496541805
moment/moment,locale/ms-my.js,Iskren Chernev,3.60949926512077
moment/moment,locale/ms-my.js,Tim Wood,3.73165125625485
moment/moment,locale/ms-my.js,Weldan Jamili,4.11327561743172
moment/moment,locale/my.js,David Rossellat,3.72349926512077
moment/moment,locale/my.js,Iskren Chernev,4.05449975504026
moment/moment,locale/nb.js,Espen Hovlandsdal,3.33303636601261
moment/moment,locale/nb.js,Tim Wood,3.84119066571533
moment/moment,locale/ne.js,Suvash Thapaliya,3.5438625971935
moment/moment,locale/ne.js,Iskren Chernev,3.60949926512077
moment/moment,locale/nl.js,Joris RÃƒÂ¶ling,3.31009803857434
moment/moment,locale/nl.js,Tim Wood,3.98783508768757
moment/moment,locale/nn.js,Iskren Chernev,3.57169091067507
moment/moment,locale/nn.js,mechuwind,4.27727561743172
moment/moment,locale/pl.js,Tim Wood,5.06936994018917
moment/moment,locale/pt-br.js,Caio Ribeiro Pereira,3.50099902016103
moment/moment,locale/pt-br.js,Iskren Chernev,3.53787018514891
moment/moment,locale/pt.js,Tim Wood,5.39736994018917
moment/moment,locale/ro.js,Valentin Agachi,3.44583508768757
moment/moment,locale/ro.js,Andrei Damian-Fekete,3.45365125625485
moment/moment,locale/ru.js,viktorminator,3.162006111727
moment/moment,locale/sk.js,Iskren Chernev,3.59637043010865
moment/moment,locale/sk.js,Martin Minka,3.65187018514891
moment/moment,locale/sl.js,Robert Sedovsek,3.56765125625485
moment/moment,locale/sl.js,Iskren Chernev,3.65236284215324
moment/moment,locale/sq.js,Menelion ElensÃƒÂºle (Andre Polykanine),3.5438625971935
moment/moment,locale/sq.js,Iskren Chernev,3.81636284215325
moment/moment,locale/sr-cyrl.js,Iskren Chernev,5.18634545533754
moment/moment,locale/sr.js,Iskren Chernev,5.02234545533754
moment/moment,locale/sv.js,Tim Wood,5.28553851655795
moment/moment,locale/ta.js,Arjunkumar Krishnamoorthy,3.62127561743172
moment/moment,locale/ta.js,Iskren Chernev,4.25234545533754
moment/moment,locale/th.js,Iskren Chernev,3.48836284215324
moment/moment,locale/th.js,Kridsada Thanabulpong,3.78527561743172
moment/moment,locale/tl-ph.js,Daniel Hagman,3.72349926512077
moment/moment,locale/tl-ph.js,Iskren Chernev,3.76034545533754
moment/moment,locale/tr.js,Tim Wood,4.90534496541805
moment/moment,locale/tzm.js,Abdel Said,3.75734496541805
moment/moment,locale/tzm-latn.js,Iskren Chernev,3.44549926512077
moment/moment,locale/tzm-latn.js,Abdel Said,3.75734496541805
moment/moment,locale/uk.js,Iskren Chernev,3.34919066571533
moment/moment,locale/uk.js,Anton VeÃŒï¿½rinov,3.72677537247198
moment/moment,locale/uk.js,Menelion ElensÃƒÂºle (Andre Polykanine),3.89971588544619
moment/moment,locale/uz.js,Iskren Chernev,3.59637043010865
moment/moment,locale/uz.js,muminoff,3.65187018514891
moment/moment,locale/vi.js,Iskren Chernev,3.48836284215324
moment/moment,locale/vi.js,bangnk,3.78527561743172
moment/moment,locale/zh-cn.js,root,3.22333484272783
moment/moment,locale/zh-cn.js,Zeno Zeng,3.33869010736027
moment/moment,locale/zh-cn.js,Tim Wood,3.51321564048645
moment/moment,locale/zh-cn.js,Iskren Chernev,3.68809803857434
moment/moment,locale/zh-tw.js,Tim Wood,3.47936994018917
moment/moment,locale/zh-tw.js,ben,3.5091510112951
moment/moment,locale/zh-tw.js,Iskren Chernev,3.84119066571533
moment/moment,meteor/export.js,Dan Dascalescu,4.391
moment/moment,meteor/package.js,Dan Dascalescu,4.883
moment/moment,meteor/test.js,Dan Dascalescu,4.555
moment/moment,moment.js,Tim Wood,37.0583793228026
moment/moment,package.js,Dustin J. Mitchell,4.391
moment/moment,scripts/npm_prepublish.sh,Iskren Chernev,4.555
moment/moment,tasks/bump_version.js,Iskren Chernev,5.211
moment/moment,tasks/check_sauce_creds.js,Iskren Chernev,4.33249975504026
moment/moment,tasks/component.js,Iskren Chernev,4.27399951008052
moment/moment,tasks/embed_locales.js,Isaac Cambron,3.56249975504026
moment/moment,tasks/embed_locales.js,Brian Wyant,4.10999951008051
moment/moment,tasks/history.js,Tim Wood,4.49649975504026
moment/moment,tasks/nuget.js,Iskren Chernev,4.391
moment/moment,tasks/size.js,Tim Wood,4.49649975504026
moment/moment,tasks/zones.js,Tim Wood,4.53037043010865
moment/moment,test/browser.js,Iskren Chernev,3.457
moment/moment,test/browser.js,LacheÃŒâ‚¬ze Alexandre,4.16849975504026
moment/moment,test/browser-prefix.js,Iskren Chernev,4.555
moment/moment,test/browser-suffix.js,Iskren Chernev,4.391
moment/moment,test/locale/af.js,Iskren Chernev,3.56249975504026
moment/moment,test/locale/af.js,Werner Mollentze,3.87437043010865
moment/moment,test/locale/ar.js,Abdel Said,3.48536235223376
moment/moment,test/locale/ar.js,Iskren Chernev,3.98783508768757
moment/moment,test/locale/ar-ma.js,Abdel Said,3.62719066571533
moment/moment,test/locale/ar-ma.js,Iskren Chernev,4.02987018514891
moment/moment,test/locale/ar-sa.js,Iskren Chernev,3.50399951008052
moment/moment,test/locale/ar-sa.js,Suhail Alkowaileet,3.72349926512077
moment/moment,test/locale/ar-tn.js,Nader Toukabri,4.391
moment/moment,test/locale/az.js,Isaac Cambron,3.32436284215324
moment/moment,test/locale/az.js,Iskren Chernev,3.53784521037779
moment/moment,test/locale/az.js,Pasha L. Topchiyev (Asus G75VX),3.62127561743172
moment/moment,test/locale/be.js,Menelion ElensÃƒÂºle (Andre Polykanine),4.36637043010865
moment/moment,test/locale/bg.js,kraz,3.38450635668674
moment/moment,test/locale/bg.js,Iskren Chernev,4.49127561743172
moment/moment,test/locale/bn.js,Iskren Chernev,3.50399951008052
moment/moment,test/locale/bn.js,kaushik gandhi,3.72349926512077
moment/moment,test/locale/bo.js,vajradog,4.63584521037779
moment/moment,test/locale/br.js,Iskren Chernev,3.64334496541805
moment/moment,test/locale/br.js,jbleduigou,4.74134496541805
moment/moment,test/locale/bs.js,Iskren Chernev,3.60949926512077
moment/moment,test/locale/bs.js,Nedim Cholich,3.73165125625485
moment/moment,test/locale/ca.js,Tim Wood,3.92136994018917
moment/moment,test/locale/ca.js,Iskren Chernev,4.10965125625485
moment/moment,test/locale/cs.js,Petr Bela,3.53484472045831
moment/moment,test/locale/cs.js,Iskren Chernev,3.87899902016103
moment/moment,test/locale/cv.js,Anatoly Mironov,3.57770829749078
moment/moment,test/locale/cv.js,Iskren Chernev,3.94565125625485
moment/moment,test/locale/cy.js,Iskren Chernev,3.65236284215324
moment/moment,test/locale/cy.js,Robert Allen,3.75734496541805
moment/moment,test/locale/da.js,Iskren Chernev,3.84119066571533
moment/moment,test/locale/da.js,Tim Wood,4.04050635668674
moment/moment,test/locale/de-at.js,Iskren Chernev,3.37384521037779
moment/moment,test/locale/de-at.js,MadMG,3.84969091067507
moment/moment,test/locale/de.js,Iskren Chernev,4.06371588544619
moment/moment,test/locale/de.js,Tim Wood,4.06970829749078
moment/moment,test/locale/el.js,Aggelos Karalias,3.60983508768757
moment/moment,test/locale/el.js,Iskren Chernev,3.80734496541805
moment/moment,test/locale/en-au.js,Iskren Chernev,4.85837043010865
moment/moment,test/locale/en-ca.js,Jonathan Abourbih,3.57770829749078
moment/moment,test/locale/en-ca.js,Iskren Chernev,4.13534496541805
moment/moment,test/locale/en-gb.js,Tim Wood,4.06970829749078
moment/moment,test/locale/en-gb.js,Iskren Chernev,4.2498625971935
moment/moment,test/locale/en.js,Iskren Chernev,4.00519066571533
moment/moment,test/locale/en.js,Tim Wood,4.92183508768757
moment/moment,test/locale/eo.js,Colin Dean,3.59336994018917
moment/moment,test/locale/eo.js,Iskren Chernev,4.16327561743172
moment/moment,test/locale/es.js,Tim Wood,4.05477537247198
moment/moment,test/locale/es.js,Iskren Chernev,4.22771588544619
moment/moment,test/locale/et.js,Henry Kehlmann,3.42936994018917
moment/moment,test/locale/et.js,Iskren Chernev,3.99927561743172
moment/moment,test/locale/eu.js,Tim Wood,4.10183508768757
moment/moment,test/locale/eu.js,Iskren Chernev,4.10965125625485
moment/moment,test/locale/fa.js,Ebrahim Byagowi,3.5438625971935
moment/moment,test/locale/fa.js,Iskren Chernev,4.0298452103778
moment/moment,test/locale/fi.js,Tarmo Aidantausta,3.54850635668674
moment/moment,test/locale/fi.js,Iskren Chernev,4.0858625971935
moment/moment,test/locale/fo.js,Iskren Chernev,3.66799951008052
moment/moment,test/locale/fo.js,Ragnar Johannesen,3.68569091067507
moment/moment,test/locale/fr-ca.js,Jonathan Abourbih,3.52174086021731
moment/moment,test/locale/fr-ca.js,Iskren Chernev,4.22771588544619
moment/moment,test/locale/fr.js,Iskren Chernev,3.92650635668674
moment/moment,test/locale/fr.js,Tim Wood,4.66974086021731
moment/moment,test/locale/fy.js,Iskren Chernev,3.457
moment/moment,test/locale/fy.js,Robin van der Vliet,4.16849975504026
moment/moment,test/locale/gl.js,Tim Wood,3.79119066571533
moment/moment,test/locale/gl.js,Iskren Chernev,3.99927561743172
moment/moment,test/locale/he.js,Moshe Simantov,3.38450635668674
moment/moment,test/locale/he.js,Iskren Chernev,4.29934496541805
moment/moment,test/locale/hi.js,Mayank Singhal,3.50099902016103
moment/moment,test/locale/hi.js,Iskren Chernev,4.35784521037779
moment/moment,test/locale/hr.js,Bojan Markovic,3.59334496541805
moment/moment,test/locale/hr.js,Iskren Chernev,3.70184521037779
moment/moment,test/locale/hu.js,adambrunner,3.53484472045831
moment/moment,test/locale/hu.js,Iskren Chernev,4.06371588544619
moment/moment,test/locale/hy-am.js,Iskren Chernev,3.70184521037779
moment/moment,test/locale/hy-am.js,Armen Darabyan,3.97987018514891
moment/moment,test/locale/id.js,Mohammad Satrio,3.57770829749078
moment/moment,test/locale/id.js,Iskren Chernev,4.32727561743172
moment/moment,test/locale/is.js,Hinrik Ãƒâ€“rn SigurÃƒÂ°sson,3.41370829749078
moment/moment,test/locale/is.js,Iskren Chernev,3.97134496541805
moment/moment,test/locale/it.js,Iskren Chernev,4.03903636601261
moment/moment,test/locale/it.js,Tim Wood,4.43669010736027
moment/moment,test/locale/ja.js,Tim Wood,3.95519066571533
moment/moment,test/locale/ja.js,Iskren Chernev,4.35787018514891
moment/moment,test/locale/ka.js,Irakli Janiashvili,3.52171588544619
moment/moment,test/locale/ka.js,Iskren Chernev,3.98036284215324
moment/moment,test/locale/km.js,Iskren Chernev,3.60949926512077
moment/moment,test/locale/km.js,Kruy Vanna,4.30787018514891
moment/moment,test/locale/ko.js,Tim Wood,3.84974086021731
moment/moment,test/locale/ko.js,Iskren Chernev,4.55571588544619
moment/moment,test/locale/lb.js,Michel Weimerskirch,3.62127561743172
moment/moment,test/locale/lb.js,Iskren Chernev,3.76037043010865
moment/moment,test/locale/lt.js,Mindaugas MozÃ…Â«ras,3.5438625971935
moment/moment,test/locale/lt.js,recallfx,3.5438625971935
moment/moment,test/locale/lt.js,Iskren Chernev,3.60949926512077
moment/moment,test/locale/lv.js,Kristaps Karlsons,3.41370829749078
moment/moment,test/locale/lv.js,Iskren Chernev,4.35787018514891
moment/moment,test/locale/mk.js,Borislav Mickov,3.65187018514891
moment/moment,test/locale/mk.js,Iskren Chernev,3.83199951008052
moment/moment,test/locale/ml.js,Iskren Chernev,3.65236284215324
moment/moment,test/locale/ml.js,Floyd Pink,3.75734496541805
moment/moment,test/locale/mr.js,Iskren Chernev,3.73569091067507
